date,code,open,high,low,close,volume,amount,turn,tradestatus,pctChg,peTTM,psTTM,pcfNcfTTM,pbMRQ,isST
2008-12-15,sh.000025,1513.1200,1524.6900,1485.6300,1507.9100,693450000,4918000000.0000,0.010659,1,0.000000,,,,,0
2008-12-16,sh.000025,1499.6500,1502.0100,1467.3800,1501.3200,571860000,3830000000.0000,0.008790,1,-0.437035,,,,,0
2008-12-17,sh.000025,1507.0300,1522.6900,1501.6100,1509.2800,617240000,4219000000.0000,0.009488,1,0.530206,,,,,0
2008-12-18,sh.000025,1505.6600,1525.1200,1496.5300,1523.6700,570250000,4160000000.0000,0.008765,1,0.953436,,,,,0
2008-12-19,sh.000025,1520.7200,1539.3000,1515.8700,1528.1700,627430000,4456000000.0000,0.009644,1,0.295339,,,,,0
2008-12-22,sh.000025,1526.4000,1533.3300,1504.2000,1513.8200,515470000,3618000000.0000,0.007923,1,-0.939038,,,,,0
2008-12-23,sh.000025,1518.3100,1518.3100,1455.9300,1456.5900,616760000,4061000000.0000,0.009480,1,-3.780501,,,,,0
2008-12-24,sh.000025,1436.9600,1443.0700,1414.7500,1424.7700,467400000,3249000000.0000,0.007184,1,-2.184551,,,,,0
2008-12-25,sh.000025,1426.3200,1434.8400,1397.2000,1411.2000,436540000,2880000000.0000,0.006710,1,-0.952439,,,,,0
2008-12-26,sh.000025,1410.8500,1420.9200,1395.2700,1406.9400,410230000,2594000000.0000,0.006306,1,-0.301871,,,,,0
2008-12-29,sh.000025,1404.2200,1424.4600,1386.5900,1421.7600,426330000,2775000000.0000,0.006553,1,1.053355,,,,,0
2008-12-30,sh.000025,1421.2400,1432.6900,1411.4300,1417.5100,413080000,2718000000.0000,0.006349,1,-0.298925,,,,,0
2008-12-31,sh.000025,1418.1700,1436.0400,1412.6200,1414.8400,431840000,2856000000.0000,0.006638,1,-0.188362,,,,,0
2009-01-05,sh.000025,1434.7000,1453.0900,1424.2900,1452.4800,500940000,3712000000.0000,0.007814,1,2.660373,,,,,0
2009-01-06,sh.000025,1449.8400,1486.9100,1443.7700,1483.3200,677640000,4902000000.0000,0.010570,1,2.123263,,,,,0
2009-01-07,sh.000025,1491.7900,1502.0700,1479.5500,1480.2400,723640000,5069000000.0000,0.011288,1,-0.207639,,,,,0
2009-01-08,sh.000025,1461.8100,1462.8100,1440.8300,1447.6300,624260000,4179000000.0000,0.009737,1,-2.203020,,,,,0
2009-01-09,sh.000025,1449.6800,1468.4400,1449.6800,1462.2700,436270000,3042000000.0000,0.006805,1,1.011309,,,,,0
2009-01-12,sh.000025,1461.5800,1472.7300,1450.2200,1457.6200,556020000,3776000000.0000,0.008673,1,-0.318000,,,,,0
2009-01-13,sh.000025,1447.1500,1447.1500,1430.2400,1430.9100,429110000,2731000000.0000,0.006693,1,-1.832437,,,,,0
2009-01-14,sh.000025,1426.9200,1459.0600,1425.9600,1458.1900,421660000,3247000000.0000,0.006577,1,1.906473,,,,,0
2009-01-15,sh.000025,1453.5200,1472.8400,1448.7700,1464.2700,846140000,5957000000.0000,0.013198,1,0.416961,,,,,0
2009-01-16,sh.000025,1470.8400,1489.4300,1470.8000,1476.1400,882010000,6319000000.0000,0.013758,1,0.810643,,,,,0
2009-01-19,sh.000025,1490.9200,1508.0800,1478.3200,1488.0300,840330000,5669000000.0000,0.013108,1,0.805480,,,,,0
2009-01-20,sh.000025,1488.6100,1488.6100,1458.6600,1479.8800,576640000,4053000000.0000,0.008995,1,-0.547706,,,,,0
2009-01-21,sh.000025,1462.3000,1471.9400,1453.0100,1463.0300,700750000,4792000000.0000,0.010931,1,-1.138604,,,,,0
2009-01-22,sh.000025,1467.9900,1473.4700,1455.7400,1469.2700,581440000,4027000000.0000,0.009070,1,0.426511,,,,,0
2009-01-23,sh.000025,1470.9900,1473.7800,1460.6200,1465.6200,782150000,5208000000.0000,0.012200,1,-0.248424,,,,,0
2009-02-02,sh.000025,1477.4800,1493.6800,1470.4900,1493.6400,564040000,3981000000.0000,0.008692,1,1.911820,,,,,0
2009-02-03,sh.000025,1494.0900,1528.9400,1487.5500,1526.2800,1099690000,7814000000.0000,0.016946,1,2.185266,,,,,0
2009-02-04,sh.000025,1531.5900,1545.1200,1526.7400,1544.6000,1115070000,7728000000.0000,0.017183,1,1.200300,,,,,0
2009-02-05,sh.000025,1546.2300,1561.1800,1527.6500,1536.2600,1363590000,9738000000.0000,0.021012,1,-0.539943,,,,,0
2009-02-06,sh.000025,1539.5100,1589.6600,1539.5100,1584.1100,1372950000,9816000000.0000,0.021156,1,3.114706,,,,,0
2009-02-09,sh.000025,1598.8400,1610.5200,1577.4600,1602.8700,1488890000,11027000000.0000,0.022943,1,1.184262,,,,,0
2009-02-10,sh.000025,1597.0700,1613.6000,1579.4900,1613.4900,1208280000,9048000000.0000,0.018619,1,0.662561,,,,,0
2009-02-11,sh.000025,1590.9500,1645.0200,1583.7000,1636.4500,1773870000,13207000000.0000,0.027334,1,1.423000,,,,,0
2009-02-12,sh.000025,1640.0600,1649.0300,1592.4200,1626.1800,1233870000,9576000000.0000,0.019013,1,-0.627572,,,,,0
2009-02-13,sh.000025,1627.0000,1678.7200,1617.6600,1673.5800,1835760000,13741000000.0000,0.028288,1,2.914800,,,,,0
2009-02-16,sh.000025,1690.8800,1704.9700,1660.6600,1704.3200,1748570000,13623000000.0000,0.026944,1,1.836780,,,,,0
2009-02-17,sh.000025,1703.2800,1715.9200,1662.6800,1663.4100,1686050000,13457000000.0000,0.025981,1,-2.400366,,,,,0
2009-02-18,sh.000025,1630.7800,1651.0300,1582.5300,1584.2100,1345110000,10248000000.0000,0.020727,1,-4.761308,,,,,0
