date,code,open,high,low,close,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,psTTM,pcfNcfTTM,pbMRQ,isST
2012-03-09,sh.601800,5.2130790900,5.2876581900,4.7805203100,4.9669680600,564317801,3777891151.0000,2,67.408475,1,23.333330,8.884248,0.369346,7.162630,1.596447,0
2012-03-12,sh.601800,4.9967997000,5.0266313400,4.7506886700,4.8103519500,246675003,1609656018.0000,2,29.465641,1,-3.153200,8.604114,0.357700,6.936781,1.546108,0
2012-03-13,sh.601800,4.8103519500,4.8401835900,4.7283149400,4.8252677700,158962909,1020441144.0000,2,18.988321,1,0.310100,8.630793,0.358809,6.958290,1.550902,0
2012-03-14,sh.601800,4.8252677700,4.8700152300,4.4822039100,4.4896618200,202749073,1280444986.0000,2,24.218633,1,-6.955200,8.030506,0.333853,6.474329,1.443034,0
2012-03-15,sh.601800,4.4598301800,4.5194934600,4.3106719800,4.3255878000,135898098,800169982.0000,2,16.233200,1,-3.654500,7.737033,0.321652,6.237726,1.390299,0
2012-03-16,sh.601800,4.3255878000,4.6462779300,4.2137191500,4.5716988300,209273466,1241169994.0000,2,24.997980,1,5.689700,8.177243,0.339953,6.592631,1.469402,0
2012-03-19,sh.601800,4.4747460000,4.5567830100,4.4076248100,4.5120355500,117872110,707258118.0000,2,14.079973,1,-1.305100,8.070525,0.335517,6.506593,1.450226,0
2012-03-20,sh.601800,4.4822039100,4.4822039100,4.3255878000,4.3330457100,79798808,469493120.0000,2,9.532069,1,-3.966900,7.750372,0.322207,6.248480,1.392696,0
2012-03-21,sh.601800,4.3703352600,4.3852510800,4.2659245200,4.3330457100,64375032,373880939.0000,2,7.689679,1,0.000000,7.750372,0.322207,6.248480,1.392696,0
2012-03-22,sh.601800,4.3628773500,4.4672880900,4.3255878000,4.3777931700,81236259,478901590.0000,2,9.703774,1,1.032700,7.830411,0.325534,6.313009,1.407078,0
2012-03-23,sh.601800,4.3405036200,4.3628773500,4.2659245200,4.2957561600,52173406,302193361.0000,2,6.232179,1,-1.873900,7.683674,0.319434,6.194707,1.380711,0
2012-03-26,sh.601800,4.2808403400,4.3927089900,4.2584666100,4.3554194400,48115893,279422164.0000,2,5.747504,1,1.388900,7.790391,0.323871,6.280744,1.399887,0
2012-03-27,sh.601800,4.4076248100,4.4150827200,4.3106719800,4.3181298900,51317920,300481802.0000,2,6.129990,1,-0.856200,8.072498,0.317065,14.876910,1.314775,0
2012-03-28,sh.601800,4.2957561600,4.3106719800,4.2211770600,4.2435507900,58710869,335217164.0000,2,7.013088,1,-1.727100,7.933076,0.311589,14.619969,1.292067,0
2012-03-29,sh.601800,4.2137191500,4.2211770600,4.1167663200,4.1316821400,51336285,286804903.0000,2,6.132184,1,-2.636200,7.723944,0.303375,14.234556,1.258006,0
2012-03-30,sh.601800,4.1391400500,4.1689716900,4.1093084100,4.1540558700,33516414,186231265.0000,2,4.003578,1,0.541500,7.765771,0.305018,14.311639,1.264818,0
2012-04-05,sh.601800,4.1615137800,4.2957561600,4.1391400500,4.2659245200,60243673,342017521.0000,2,7.196183,1,2.693000,7.974903,0.313232,14.697051,1.298880,0
2012-04-06,sh.601800,4.2510087000,4.2584666100,4.1913454200,4.2286349700,49146034,278499262.0000,2,5.870556,1,-0.874100,7.905192,0.310494,14.568580,1.287526,0
2012-04-09,sh.601800,4.2062612400,4.2360928800,4.1465979600,4.1465979600,32894398,184657110.0000,2,3.929277,1,-1.940000,7.751829,0.304470,14.285945,1.262547,0
2012-04-10,sh.601800,4.1391400500,4.1838875100,4.0943925900,4.1838875100,41847051,231964051.0000,2,4.998683,1,0.899300,7.821539,0.307208,14.414415,1.273901,0
2012-04-11,sh.601800,4.1391400500,4.2882982500,4.1316821400,4.2435507900,61538777,348683368.0000,2,7.350885,1,1.426000,7.933076,0.311589,14.619969,1.292067,0
2012-04-12,sh.601800,4.2360928800,4.2882982500,4.1913454200,4.2659245200,58012397,330258962.0000,2,6.929654,1,0.527200,7.974903,0.313232,14.697051,1.298880,0
2012-04-13,sh.601800,4.2808403400,4.2882982500,4.2286349700,4.2435507900,43755029,249598898.0000,2,5.226594,1,-0.524500,7.933076,0.311589,14.619969,1.292067,0
2012-04-16,sh.601800,4.2211770600,4.2584666100,4.1988033300,4.2435507900,31626933,179493072.0000,2,3.777877,1,0.000000,7.933076,0.311589,14.619969,1.292067,0
2012-04-17,sh.601800,4.2360928800,4.2435507900,4.1689716900,4.1764296000,34807168,196197531.0000,2,4.157760,1,-1.581700,7.807597,0.306661,14.388721,1.271631,0
2012-04-18,sh.601800,4.1913454200,4.3330457100,4.1764296000,4.3106719800,77249921,441786452.0000,2,9.227601,1,3.214300,8.058556,0.316518,14.851216,1.312504,0
2012-04-19,sh.601800,4.2957561600,4.3106719800,4.2659245200,4.2808403400,33721709,193806705.0000,2,4.028101,1,-0.692000,8.002787,0.314327,14.748439,1.303421,0
2012-04-20,sh.601800,4.2733824300,4.4150827200,4.2659245200,4.4001669000,83430433,488388103.0000,2,9.965871,1,2.787500,8.225861,0.323089,15.159546,1.339754,0
2012-04-23,sh.601800,4.3703352600,4.4896618200,4.3703352600,4.4001669000,70004689,415362761.0000,2,8.362149,1,0.000000,8.225861,0.323089,15.159546,1.339754,0
2012-04-24,sh.601800,4.3777931700,4.5120355500,4.3405036200,4.4971197300,89167249,531048780.0000,2,10.651141,1,2.203400,8.407109,0.330208,15.493569,1.369274,0
2012-04-25,sh.601800,4.4747460000,4.5344092800,4.4225406300,4.4896618200,63331251,380286852.0000,2,7.564998,1,-0.165800,8.393167,0.329660,15.467875,1.367003,0
2012-04-26,sh.601800,4.4449143600,4.4598301800,4.3554194400,4.3777931700,59344943,350114250.0000,2,7.088828,1,-2.491700,8.224954,0.324561,9.919542,1.204783,0
2012-04-27,sh.601800,4.3628773500,4.4225406300,4.3479615300,4.3927089900,30633257,180140295.0000,2,3.659181,1,0.340700,8.252978,0.325667,9.953339,1.208888,0
2012-05-02,sh.601800,4.4374564500,4.4374564500,4.3777931700,4.3927089900,46054103,272106366.0000,2,5.501221,1,0.000000,8.252978,0.325667,9.953339,1.208888,0
2012-05-03,sh.601800,4.3777931700,4.3852510800,4.3181298900,4.3479615300,37374492,217933373.0000,2,4.464430,1,-1.018700,8.168906,0.322349,9.851947,1.196573,0
2012-05-04,sh.601800,4.3255878000,4.3703352600,4.3181298900,4.3628773500,29402968,171064256.0000,2,3.512222,1,0.343100,8.196930,0.323455,9.885745,1.200678,0
2012-05-07,sh.601800,4.3330457100,4.3405036200,4.3032140700,4.3330457100,27209996,157626170.0000,2,3.250268,1,-0.683800,8.140883,0.321244,9.818150,1.192468,0
2012-05-08,sh.601800,4.3330457100,4.3852510800,4.3181298900,4.3777931700,37002261,216332116.0000,2,4.419967,1,1.032700,8.224954,0.324561,9.919542,1.204783,0
2012-05-09,sh.601800,4.3628773500,4.3777931700,4.2957561600,4.3032140700,32910124,191673351.0000,2,3.931156,1,-1.703600,8.084835,0.319032,9.750555,1.184258,0
2012-05-10,sh.601800,4.3032140700,4.3255878000,4.2286349700,4.2435507900,30573586,174969717.0000,2,3.652054,1,-1.386500,7.972741,0.314609,9.615365,1.167839,0
2012-05-11,sh.601800,4.2435507900,4.2584666100,4.2062612400,4.2211770600,23541043,133527478.0000,2,2.812007,1,-0.527200,7.930705,0.312950,9.564669,1.161682,0
2012-05-14,sh.601800,4.2510087000,4.2584666100,4.1913454200,4.1988033300,25169200,142728873.0000,2,3.006493,1,-0.530000,7.888670,0.311291,9.513973,1.155524,0
2012-05-15,sh.601800,4.1838875100,4.1913454200,4.1391400500,4.1689716900,25617891,142980873.0000,2,3.060089,1,-0.710500,7.832622,0.309079,9.446378,1.147315,0
2012-05-16,sh.601800,4.1689716900,4.1913454200,4.1465979600,4.1465979600,16902287,94567301.0000,2,2.019000,1,-0.536700,7.790587,0.307421,9.395682,1.141157,0
2012-05-17,sh.601800,4.1615137800,4.2137191500,4.1391400500,4.1988033300,20500419,114953068.0000,2,2.448801,1,1.259000,7.888670,0.311291,9.513973,1.155524,0
2012-05-18,sh.601800,4.1689716900,4.1764296000,4.1018505000,4.1242242300,28815086,159773067.0000,2,3.441998,1,-1.776200,7.748551,0.305762,9.344986,1.135000,0
2012-05-21,sh.601800,4.1242242300,4.1913454200,4.1242242300,4.1391400500,16998791,94649012.0000,2,2.030527,1,0.361700,7.776575,0.306868,9.378783,1.139105,0
2012-05-22,sh.601800,4.1615137800,4.2286349700,4.1540558700,4.2211770600,33817146,190056273.0000,2,4.039501,1,1.982000,7.930705,0.312950,9.564669,1.161682,0
